NombreLeccion,CanalYouTube,UrlYouTube,CursoNombre,CursoUrl,CursoId,LeccionId
Fórmula BANT,Apps Implantadores,https://youtube.com/watch?v=IdAEElK5hhA,Diplomado en CRM,https://edutin.com/curso-de-crm-2741,2741,107181
Creación de gráficos estadísticos,Aprende Algo Más,https://youtube.com/watch?v=Dq7N72n32Ms,Diplomado en Microsoft PowerPoint,https://edutin.com/curso-de-powerpoint,546,146573
Personalizar tamaño de diapositivas,Aprende Con Ander,https://youtube.com/watch?v=IjXrMPBGqzc,Diplomado en Microsoft PowerPoint,https://edutin.com/curso-de-powerpoint,546,146553
Filtrar datos,Aprende Excel,https://youtube.com/watch?v=7UTG5PVi46k,Diplomado en Microsoft Excel - Enfoque Contabilidad y Finanzas,https://edutin.com/curso-de-excel-para-contadores,4499,149259
Herramientas de Microsoft Office 365,Aprendemanía,https://youtube.com/watch?v=eQPODhV9W98,Diplomado en Microsoft PowerPoint,https://edutin.com/curso-de-powerpoint,546,146441
Google Drive,Aprender A,https://youtube.com/watch?v=qE8yX0ovkq8,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141464
Comandos básicos de Docker,Aprender Big Data,https://youtube.com/watch?v=kjnPTx1Ud0Q,Docker Profesional,https://edutin.com/curso-de-docker-3986,3986,112261
Compartir y edición en grupo,Aprender Gratis,https://youtube.com/watch?v=W2Msm1e90-s,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141534
Aprendizaje profundo,Aprendizaje Profundo,https://youtube.com/watch?v=jXu0RC6D-rQ,Diplomado en Fundamentos de la Inteligencia Artificial,https://edutin.com/curso-de-introduccion-a-la-inteligencia-artificial-4243,4243,96627
Organización del correo,APTeck Tutorials,https://youtube.com/watch?v=GSSRoGUC0Nk,Diplomado en Microsoft Outlook,https://edutin.com/curso-de-outlook-1925,1925,141657
Fragmentación y reensamblaje,AR2 Flipped,https://youtube.com/watch?v=6czsiIKsZUg,IPv6 Profesional,https://edutin.com/curso-de-ipv6-3548,3548,143292
Paquetes IPV4,AR2 Flipped,https://youtube.com/watch?v=AGVLFjdOU5I,IPv6 Profesional,https://edutin.com/curso-de-ipv6-3548,3548,143296
La cabecera del datagrama IPv4,AR2 Flipped,https://youtube.com/watch?v=AGVLFjdOU5I,Fundamentos Profesionales en Redes de Computadoras,https://edutin.com/curso-de-redes-4158,4158,93882
Las direcciones IPV4,AR2 Flipped,https://youtube.com/watch?v=exOFEVAOI88,IPv6 Profesional,https://edutin.com/curso-de-ipv6-3548,3548,143290
Los módulos de la red,ARC UV,https://youtube.com/watch?v=l007fkbVXXc,Fundamentos Profesionales en Redes de Computadoras,https://edutin.com/curso-de-redes-4158,4158,93874
Arquitecturas de diseño de una red de datos,ARC UV,https://youtube.com/watch?v=PYDbp4MeImQ,Fundamentos Profesionales en Redes de Computadoras,https://edutin.com/curso-de-redes-4158,4158,93873
Diseño de redes de alta disponibilidad,ARC UV,https://youtube.com/watch?v=sDOyNCCBZr8,Fundamentos Profesionales en Redes de Computadoras,https://edutin.com/curso-de-redes-4158,4158,93875
Sensor,Arcadia Fotos,https://youtube.com/watch?v=TcDZuWpEVuc,Diplomado en Fotografía profesional,https://edutin.com/curso-de-fotografia-4300,4300,144727
Abrir un archivo en ArchiCAD,ARCHICAD Canal Español,https://youtube.com/watch?v=82a3pn4xrOg,Diplomado en ArchiCAD,https://edutin.com/curso-de-archicad-4346,4346,144397
Conociendo la interfaz,ARCHICAD Canal Español,https://youtube.com/watch?v=pq-qI2CUOEI,Diplomado en ArchiCAD,https://edutin.com/curso-de-archicad-4346,4346,105394
Interfaz de usuario de ArchiCAD,ARCHICAD Canal Español,https://youtube.com/watch?v=pq-qI2CUOEI,Diplomado en ArchiCAD,https://edutin.com/curso-de-archicad-4346,4346,144396
Modelar una casa en desnivel,Archicad paso a paso,https://youtube.com/watch?v=bzv7iIpLkpM,Diplomado en ArchiCAD,https://edutin.com/curso-de-archicad-4346,4346,160852
Modelar una casa en desnivel,Archicad paso a paso,https://youtube.com/watch?v=pE18O5JpM7I,Diplomado en ArchiCAD,https://edutin.com/curso-de-archicad-4346,4346,144423
Crear plataformas en malla o terreno,Archicad paso a paso,https://youtube.com/watch?v=V6RqEQUDPlk,Diplomado en ArchiCAD,https://edutin.com/curso-de-archicad-4346,4346,144422
Renderizado,Archicad Tutorials 2.0,https://youtube.com/watch?v=7rAGs0bSoV8,Diplomado en ArchiCAD,https://edutin.com/curso-de-archicad-4346,4346,105468
Conceptos BIM,ARCHICAD,https://youtube.com/watch?v=D-tue-ZPThY,Diplomado en ArchiCAD,https://edutin.com/curso-de-archicad-4346,4346,105392
Concepto de  render y sus funciones,Arcux,https://youtube.com/watch?v=kMQA953oAlY,Animación y Modelado con Maya,https://edutin.com/curso-de-maya-basico-4077,4077,91247
Concepto de ArchiCAD,Arcux,https://youtube.com/watch?v=Yh6OBQYR54Y,Diplomado en ArchiCAD,https://edutin.com/curso-de-archicad-4346,4346,105388
